Dzongkhag,dzongkhagCode,gewog/thromde,gewog/thromde code,chiwog/lap,chiwogLapCode,eaCode,EA Description,hhCount
Punakha,10,Lingmukha,7,Nabchhed,4,1,,29
Punakha,10,Toedpaisa,10,Dochola_Maenchhuna,3,1,,83
Punakha,10,Toedwang,11,Kewanang_Tshachhuphu,3,1,,40
Samdrup Jongkhar,11,Dewathang,1,Chhenangri_Rishor,2,2,Starting from Jigme Zangmo's house above  primary school to Tshogpa's house (rishor),51
Samdrup Jongkhar,11,Gomdar,2,Denchhi,2,1,Denchhi Khoyar,158
Samdrup Jongkhar,11,Gomdar,2,Khoyar Pangthang_Palroong,4,1,,64
Samdrup Jongkhar,11,Langchenphu,3,Jangsa,3,1,,58
Samdrup Jongkhar,11,Lauri,4,Momring_Rolnang,4,2,Started from Phajo Gonpa including Rolnang village and ended at Jompa village.,46
Samdrup Jongkhar,11,Martshala,5,Martshala,4,1,"Starting from Martshala BHU North,gewog center,RNR center in the south till Dujum Choekhang at the west.",62
Samdrup Jongkhar,11,Orong,6,Jangchhubling,2,2,Started from Borkanang including Mandhar and ended at Jangchhubling village,57
Samdrup Jongkhar,11,Pemathang,7,Uesarna_Warong,5,1,,40
Samdrup Jongkhar,11,Phuentshogthang,8,Minjigang,4,1,,84
Samdrup Jongkhar,11,Phuentshogthang,8,Phuentshogthang,5,2,Starting from left side of Tshangchhu bridge including houses located towards the south and ended at the Bhutan carbide and chemicals LTD office of the project officer which is located above the ugyen phuntshog choeling monastery.,73
Samdrup Jongkhar,11,Serthig,10,Monmola_Tashithang Gyed,4,1,,81
Samdrup Jongkhar,11,Wangphu,11,Shogshi,5,2,"Starting from area above Om zor including mani Dangrey village,area above sanjayzor lhakhang and area above from road towards lhakhang and till the area below Benporang chiwog.",39
Samtse,12,Doomtoed,1,Gebji_Kuzhuggang,4,1,,49
Samtse,12,Dophuchen,2,Aringgang_Midzomsa,1,1,"In the south it's of Lyem Lal phuyel house,In west its of Thalay Pati  Adikari,In East its of Pabi Maya Adikari and in north its of Chandra man biswa.",81
Samtse,12,Dophuchen,2,Manigang_Thingyersa,3,2,started from dorokha LSS NORTH following towards South police station and at East forest office and at west gewog offices,64
Samtse,12,Dophuchen,2,Singye,6,3,"It covers Wangchuk village whereby in the east its of Rinzin doya house,in the west its of Gadu doya house,in the north its of Tempa doya house and finally in the south its of Bidu doya house.",41
Samtse,12,Namgyalchhoeling,4,Namgyalchhoeling,3,2,started from Sonam pelbar crusher unit near the bridge above highway including village near Tashi Chhoeling chiwog and hangipashi village and ended toward Bichhungay Village,72
Samtse,12,Norboogang,5,Dawaling_ Yangphelthang,1,2,Starting from Norboogang Lhakhang till the end of houses located at the right side of police camp wall.,57
Samtse,12,Norboogang,5,Khangduzhi_Kyidsa,4,1,started from North upper kopchey till south  baksay and at west mining sites .,48
Samtse,12,Norgaygang,6,Dangreybu_Patshaling,3,3,EA- 03 Started From Zhendebgang village which is near Patshaling village and ended at Norgaygang Gewog Center.,66
Samtse,12,Pemaling,7,Manigang_Tashithang,3,2,Starting from Manigang village including Pangthangjoog village and ending at few household of Manigang village opposite to Tashichoeling gewog.,64
Samtse,12,Phuentshogpelri,8,Jangchhogling_Lachhuthang,3,3,Started from Jit Bdr Gurung's house till the houses opposite to creamition ground.,49
Samtse,12,Samtse,9,Sa-tshamchhu_Tshongdzom,5,4,"starting from Gawadoog (Alley Pakha)below the main road including sa-tshamchhu and the factory area(gongphel construction) and stopping near the bridge, opposite to the new resort.",53
Samtse,12,Sang-Ngag-Chhoeling,10,Dephellingmaed_Khangzangling,2,1,started from Gathiya C till PWD camp in Satvaiya.,56
Samtse,12,Tading,11,Norjangsa_Zochhaling,3,2,started from Ghatay khola east till Bhalu khola west.,69
Samtse,12,Tading,11,Thongsa_Tobchhenthang,5,3,Starting from San Maya restaurant till Budhi Maya house,40
Samtse,12,Tashichhoeling,12,Baepoteng_Kangdoongphu,1,5,Started from the sport shop above the highway that is situated along the way to the Dudjom Donganglung Institute and ended at household above the highway that is beside structure 24,59
Samtse,12,Tendruk,13,Dawathang_Kuengaling,1,3,Starting from Rangthangling village including Kuengaling village below the highway and ending at Kuengaling Outpost.,51
Samtse,12,Tendruk,13,Khengtong_Targothang,3,1,,76
Samtse,12,Tendruk,13,Nyizergang_Tendruk,5,6,Started from the household above Jaldhaka river which is known as Sakar Khanday village and ended inside Tendruk Central School at Caretaker's house,64
Samtse,12,Ugyentse,14,Dangreybu_Rigpailing,2,1,,44
Samtse,12,Yoeseltse,15,Dungkar,1,3,begin from  Ghatay khola till dunkar,53
Sarpang,13,Chhudzom,1,Jangchhubling,3,1,starting from  harka bdr rai house to Tara Maya house,47
Sarpang,13,Chhuzanggang,2,Pangzor,4,1,starting from Mr Sonam tshering house (red house) till Mr tshering house.,61
Sarpang,13,Chhuzanggang,2,Pangzor,4,2,starting from rudra prasad adhikari house and ends at Sansari Bazar (Mr tejh maya tauri shop),66
Sarpang,13,Dekiling,3,Dekiling,2,3,Starting from Dorji Wangmo house till Ran bdr mongar house.,61
Sarpang,13,Dekiling,3,Jigmeling,4,2,starting from Dorji Nima house till Nima sangay,80
Sarpang,13,Dekiling,3,Jigmeling,4,11,Starting from Neten Dema house which is located in the junction of druk choling till Nima house above way to peshiling Dashang,91
Sarpang,13,Gakiling,4,Sangkha,5,1,"Village includes Sasbotai Ghari, Deoti, Ratipani, Getemkha in south, Relangthang in west, Menchula in east and lower Muga in north",52
Sarpang,13,Gelegphu,5,Pelrithang Khamaed,3,3,Starting from pelrithang gewog canteen till prakash acharya house,57
Sarpang,13,Gelegphu,5,Pelrithang Khatoed,4,7,Starting from Losel Jatso ECCD center till below pelrithang school,82
Sarpang,13,Jigme Chhoeling,6,Gongduegang,2,2,"Starting from north bordering EA01 covering mendrelgang village coming towards south covering serbagang, gelechu and ending at the simkharthang village",63
Sarpang,13,Samtenling,7,Samtenthang,5,3,Starting from Meeting halls towards north till Danbir Rai 's House below forest is end of EA03 .,39
Sarpang,13,Serzhong,9,Serzhong,4,1,All households of main Serzhong Area.,59
Sarpang,13,Shompangkha,10,Koenchhogling,3,1,,70
Sarpang,13,Umling,12,Rijoog,4,2,starting from below Bhu area (tashi gyem)house till beside lingar lhakhang area,55
Thimphu,14,Chang,1,Gangchhe_Talakha,2,5,Starting point from driving centre till Dumra homes,40
Thimphu,14,Chang,1,Ramtoktok_Tsangrina,4,1,"Below Welcome gate, both above and below AH48, and above the road to Ashis Residence",50
Thimphu,14,Chang,1,Yoeselpang,5,1,"Below, Hontsho area boundary including Chakzampa Trulkus residence and the village boundary in other side of valley, and above piggery Station, and along the cleared boundary of the village.",88
Thimphu,14,Darkarla,2,Chamgang Maed,1,5,RBP  family quarter,67
Thimphu,14,Kawang,4,Chhamina_Chhokhor,2,1,,88
Thimphu,14,Kawang,4,Dazhi-Zhoshuel,4,2,Residents above Thimphu chhu and below main road till Dendup Zangmo building,75
Thimphu,14,Kawang,4,Dazhi-Zhoshuel,4,4,"lower road, ending till river",38
Thimphu,14,Kawang,4,Kuzhugchen,5,2,"Along the road to Tango, till the cleared area of kuzugchen in north, and along the valley below school in southeast.",65
Thimphu,14,Maedwang,6,Danglo-Namsaeling,1,3,"Along Wangchu in the West, Above road to Resort and below road to Dasho Khamsum's factory",62
Thimphu,14,Maedwang,6,Jiminang,2,4,"Above Gasel sawmill, beyond and including singye sand and stone",30
Thimphu,14,Maedwang,6,Khasadrupchhu,3,2,"Including the residential area of forest, BPC colony and other residence above river of dromdo wom",44
Thimphu,14,Maedwang,6,Tsha-loong-na,5,1,,64
Trashi Yangtse,16,Boomdeling,1,Betsamang,1,1,,50
Trashi Yangtse,16,Boomdeling,1,Pangkhar_Taphel,5,2,Starting from Darmer village till Tobrang Boarder,85
Trashi Yangtse,16,Jamkhar,2,Shingkhar_Tongla,5,1,,76
Trashi Yangtse,16,Khamdang,3,Dhomtshang_Karmadzom,1,1,,87
Trashi Yangtse,16,Khamdang,3,Khamdang_Manla,3,2,it starts from mansigang,55
Trashi Yangtse,16,Khamdang,3,Serpang_Shalli,5,1,starts from mansing and ends at zanngpozor,54
Trashi Yangtse,16,Ramjar,4,Bawoong,2,1,,23
Trashi Yangtse,16,Toedtsho,5,Maeldoong,4,1,,48
Trashi Yangtse,16,Tongmajangsa,6,Pang-Lhauzhing,5,1,,76
Trashi Yangtse,16,Yalang,7,Phuyang_Yalang,4,1,It starts from tshamkhang.,97
Trashigang,15,Bartsham,1,Trashang,5,1,,66
Trashigang,15,Bidoong,2,Tsigtoom,5,1,,49
Trashigang,15,Kanglung,3,Maanthong,1,2,"Starting from Zangkholom including Jampeling school, Namla village, serthi and ending at Shinangkhar village.",66
Trashigang,15,Kanglung,3,Rongthoong_Shingchhen,4,4,"starting from namla including rongthung village(below road),dongdoma,and ended at ling khar  (ex lynpo minjur dorji house).",64
Trashigang,15,Kangpar,4,Bedengphu_Merdag,1,1,,61
Trashigang,15,Lumang,6,Dubkhang_Lumang,2,2,Starting from end farm road of Tshona village and end at Khomin village,67
Trashigang,15,Lumang,6,Riserbu_Tsangpo,5,3,Starting from Tashitse school under Sangmari village including Romzor village and kheshing village below the highway.,68
Trashigang,15,Phongmed,8,Lem,1,2,starting  from phonmey BHU below the gewog road and it's ends at,43
Trashigang,15,Phongmed,8,Ya-Brang,5,2,starting  from the yabrang Mey near to yabrang lhakhang above road till yabrang primary school below sakteng gewog road,62
Trashigang,15,Radhi,9,Tongling Pam,5,1,"it starts from tongling kadam village to khatoe village, along tongling khatoe and  radi tongling  farm road and below road of EA2 and  end at Tangthrang below old Tongling School",56
Trashigang,15,Sagteng,10,Sagteng,4,2,Starting from Sonam Dorji house and ending at Karma house near new Dungkhag office,50
