Dzongkhag,dzongkhagCode,gewog/thromde,gewog/thromde code,chiwog/lap,chiwogLapCode,eaCode,EA Description,hhCount
Thimphu,14,Thimphu Thromde,51,Dechencholing III a,3,7,EA-7,61
Thimphu,14,Thimphu Thromde,51,Dechencholing III a,3,12,EA-12,38
Thimphu,14,Thimphu Thromde,51,Dechencholing III b,4,1,EA-1,37
Thimphu,14,Thimphu Thromde,51,Taba I b,7,7,Pamtsho Lam-6 and Pamtsho Lam,54
Thimphu,14,Thimphu Thromde,51,Taba II a,9,1,EA-1,30
Thimphu,14,Thimphu Thromde,51,Taba II a,9,4,EA-4,93
Thimphu,14,Thimphu Thromde,51,Taba II c,11,1,"Taba Lam - 1, 16,27, 33, 35",288
Thimphu,14,Thimphu Thromde,51,Taba II d,12,4,Druk's Shop Area,28
Thimphu,14,Thimphu Thromde,51,Hejo Samtenling I a,13,3,Samtenling 2,129
Thimphu,14,Thimphu Thromde,51,Hejo Samtenling I c,15,8,Dratshang and Above Cremation Ground,34
Thimphu,14,Thimphu Thromde,51,Hejo Samtenling II,16,8,Below Ashi Sangay Choden Building,78
Thimphu,14,Thimphu Thromde,51,Zilukha II,19,1,Zilukha School,69
Thimphu,14,Thimphu Thromde,51,Zilukha V,22,6,National Library,16
Thimphu,14,Thimphu Thromde,51,Lower Motithang I a,23,8,Kinzang Lam Area,35
Thimphu,14,Thimphu Thromde,51,Lower Motithang I c,25,1,Lower Motithang Top I,45
Thimphu,14,Thimphu Thromde,51,Lower Motithang I d,26,2,Khang Residency Area,35
Thimphu,14,Thimphu Thromde,51,Lower Motithang II a,28,3,NPPF Colony II,30
Thimphu,14,Thimphu Thromde,51,Lower Motithang II a,28,6,YDF Area,27
Thimphu,14,Thimphu Thromde,51,Lower Motithang III a,30,3,Above Lodrey Lam till education monitoring division office,26
Thimphu,14,Thimphu Thromde,51,Upper Motithang I a,33,3,Ashi Tshering Yangdon Wangchuck's workers huts area,24
Thimphu,14,Thimphu Thromde,51,Upper Motithang I c,35,1,Temporary Settlement area,36
Thimphu,14,Thimphu Thromde,51,Core c,38,7,Core Town G,39
Thimphu,14,Thimphu Thromde,51,Core d,39,5,Hotel Sambhav & Phuensum Builder Private Limited building area,52
Thimphu,14,Thimphu Thromde,51,Core d,39,7,Buildings around centenary farmers market,14
Thimphu,14,Thimphu Thromde,51,Core f,41,2,Clock Tower Area,30
Thimphu,14,Thimphu Thromde,51,Changangkha I a,43,3,Khachen Lam 7,26
Thimphu,14,Thimphu Thromde,51,Changangkha II c,47,4,Hospital staffs residence area,30
Thimphu,14,Thimphu Thromde,51,Changzamtok I b,49,4,"Building No. 22, 20, 18 & KD Sawmil Area",82
Thimphu,14,Thimphu Thromde,51,Changzamtok II b,51,1,Hindu Temple and Temporary shed below road towards Buddha Point,42
Thimphu,14,Thimphu Thromde,51,Changzamtok II b,51,6,Below Hindu Temple,39
Thimphu,14,Thimphu Thromde,51,Changzamtok III a,52,7,Building no. 13b to building no. 7,35
Thimphu,14,Thimphu Thromde,51,Changzamtok III b,53,9,Menlha Pharmacy  shop area,34
Thimphu,14,Thimphu Thromde,51,Changzamtok III c,54,5,Along Zachoe lam and RBA sawmill,22
Thimphu,14,Thimphu Thromde,51,Changzamtok IV b,57,1,Druk School Area,35
Thimphu,14,Thimphu Thromde,51,Changzamtok IV b,57,10,Below Rinchen School,45
Thimphu,14,Thimphu Thromde,51,Changbangdu I,59,1,Loseling LSS Area,43
Thimphu,14,Thimphu Thromde,51,Changbangdu I,59,11,Trowa Theatre area,37
Thimphu,14,Thimphu Thromde,51,Changbangdu I,59,19,NHDCL Colony X,40
Thimphu,14,Thimphu Thromde,51,Changbangdu,60,2,Include Bangdu Lam 8 & Bangdu Lam 4 Area,89
Thimphu,14,Thimphu Thromde,51,Changbangdu,60,20,EA-20,40
Thimphu,14,Thimphu Thromde,51,Lungtenphu I a,61,11,Upper Changjalu A,36
Thimphu,14,Thimphu Thromde,51,Lungtenphu I b,62,4,Dorji P Tshongkhang & choki general shop area,36
Thimphu,14,Thimphu Thromde,51,Lungtenphu I c,63,1,Old ECB office area,138
Thimphu,14,Thimphu Thromde,51,Lungtenphu I c,63,12,Jamphel Bakery Area,46
Thimphu,14,Thimphu Thromde,51,Lungtenphu I e,65,3,Yeedzin motors area,53
Thimphu,14,Thimphu Thromde,51,Lungtenphu I e,65,7,Dodo Shoe Product Area,70
Thimphu,14,Thimphu Thromde,51,Lungtenphu I f,67,6,Above Semtokha Zam Area,12
Thimphu,14,Thimphu Thromde,51,Semtokha a,69,7,RNR office compound & residential area,56
Thimphu,14,Thimphu Thromde,51,Semtokha a,69,15,residential area below babesa highway & gref,103
Thimphu,14,Thimphu Thromde,51,Semtokha c,71,5,Area to the right of EA4 till the road Tsalu Lam -8,122
Thimphu,14,Thimphu Thromde,51,Semtokha d,72,4,Residential area above Babesa and highway,42
Thimphu,14,Thimphu Thromde,51,Babesa I a,73,2,EA-2,36
Thimphu,14,Thimphu Thromde,51,Babesa I a,73,10,EA-10,72
Thimphu,14,Thimphu Thromde,51,Babesa I b,74,4,EA-4,36
Thimphu,14,Thimphu Thromde,51,Babesa II,76,2,Bio Diversity center & sawmill area,15
Bumthang,1,Bumthang Town,51,LA 1,1,3,Around Gadhen Resort and Wangchuk Lodge,12
Bumthang,1,Bumthang Town,51,LA 1,1,8,In and Around Wangdicholing Hospital,24
Bumthang,1,Bumthang Town,51,LA 3,3,2,Above Wangduecholing Middle Secondary School,13
Bumthang,1,Bumthang Town,51,LA 4,4,1,Around Leksel Auto Spare Part till Kharchu Dratshang,15
Bumthang,1,Bumthang Town,51,LA 5,5,3,Near Footbal Ground,28
Bumthang,1,Bumthang Town,51,LA 5,5,10,Opposite to RSTA Office,23
Chhukha,2,Tsimasham Town,52,LA 1,1,2,EA-02 & EA-03 (Tsimalakha town),51
Chhukha,2,Tsimasham Town,52,LA 3,3,4,EA-04,26
Chhukha,2,Dala Town,62,LA 1,1,1,Below board factory,36
Chhukha,2,Gedu Town,63,LA 2,2,3,College Area,55
Dagana,3,Dagana Town,51,LA 1,1,3,NHDCL colony Area,31
Dagana,3,Dagapela Town,61,LA 1,1,3,Karmi Village,50
Dagana,3,Lhamoi Dzingkha Town,63,LA 2,2,2,"Army Camp, BHU, Range Office",48
Dagana,3,Lhamoi Dzingkha Town,63,LA 4,4,2,Farm Gown above road near Kalikhola River,37
Gasa,4,Gasa Town  ,51,LA 1,1,1,"Prisoner Colony, Labor camp & Dzong area",14
Gasa,4,Gasa Town  ,51,LA 1,1,3,Police Colony,23
Gasa,4,Gasa Town  ,51,LA 1,1,4,NHDCL Colony,27
Gasa,4,Gasa Town  ,51,LA 1,1,5,School Area,12
Gasa,4,Gasa Town  ,51,LA 1,1,6,Park/Bazaar,67
Gasa,4,Damji Town,61,LA 1,1,1,Bjishong Central School & Gewog central area,67
Haa,5,Haa Town,51,LA 1,1,3,Kipchu hall and Workhop area,27
Haa,5,Haa Town,51,LA 2,2,5,BPC Office and Two Sister's area,54
Haa,5,Jyenkana Town,61,LA 1,1,1,Manidungkhor Area,60
Lhuentse,6,Lhuentse Town,51,LA 1,1,1,BPC Colony,44
Lhuentse,6,Lhuentse Town,51,LA 2,2,4,NHDCL colony area,34
Monggar,7,Monggar Town,51,LA 1,1,5,Below Court Area,42
Monggar,7,Monggar Town,51,LA 4,4,2,Druk Zhongar Hotel,18
Monggar,7,Monggar Town,51,LA 5,5,1,Near Mongar HSS,47
Monggar,7,Gyalposhing Town,62,LA 1,1,1,Gyelposhing Higher Secondary School,26
Monggar,7,Gyalposhing Town,62,LA 3,3,2,KHPC Colony  area,46
Monggar,7,Lingmethang Town,64,LA 1,1,3,Saling Geog office area,41
Paro,8,Paro Town     ,51,LA 2,2,1,EA 1,25
Paro,8,Paro Town     ,51,LA 3,3,2,Main Paro Town II,33
Paro,8,Paro Town     ,51,LA 3,3,17,Main paro town area XV,33
Paro,8,Paro Town     ,51,LA 5,5,6,Druk petroleum and Wangchang Gup Office Area,48
Paro,8,Paro Town     ,51,LA 5,5,8,DVH and Drukair office Area,51
Paro,8,Paro Town     ,51,LA 6,6,9,Near NIE(Near yellow building),43
Pema Gatshel,9,Nangkhor Town,64,LA 1,1,2,Shumar School Area,39
Pema Gatshel,9,Nganglam Town,65,LA 1,1,5,DP2 Factory Resident Area,36
Pema Gatshel,9,Nganglam Town,65,LA 2,2,6,Dccl lower  Colony,59
Pema Gatshel,9,Nganglam Town,65,LA 3,3,5,Phatawong town Area,50
Pema Gatshel,9,Nganglam Town,65,LA 4,4,3,Dangnalashingborang,30
Pema Gatshel,9,Nganglam Town,65,LA 4,4,9,Police Camp,38
Punakha,10,Punakha Town,51,LA 2,2,2,Nearby Police Camp Area,60
Punakha,10,Punakha Town,51,LA 4,4,1,Sparks Gallery & Tashike Area,43
Punakha,10,Punakha Town,51,LA 5,5,2,Around the power house,80
Punakha,10,Lobaysa Town ,61,LA 1,1,2,ATM & Drayang Area,37
Samdrup Jongkhar,11, Jomotsangkha Town,61,LA 1,1,4,Post Office Area,42
Samdrup Jongkhar,11, Samdrupcholing Town,62,LA 2,2,3,Karmaling HSS area,26
Samtse,12,Samtse Town ,51,LA 1,1,8,"BPC, FCB and Quarantine Station Area",59
Samtse,12,Samtse Town ,51,LA 3,3,2,Main Town Area,80
Samtse,12,Samtse Town ,51,LA 4,4,5,Lecturer Quarter and SHSS area,45
Samtse,12,Gomtu Town  ,61,LA 1,1,7,Around Hills resturant,28
Samtse,12,Gomtu Town  ,61,LA 2,2,5,Sunday Market Area,39
Samtse,12,Sipsu Town  ,62,LA 1,1,2,"Army camp area, Malboo Restaurant",4
Sarpang,13,Sarpang Town,52,LA 1,1,5,Commercial and residential area,63
Sarpang,13,Sarpang Town,52,LA 4,4,1,Below Senggey gewog fedder road,23
Thimphu,14,Khasadrapchu Town,61,LA 1,1,1,Khasadrapchu I,36
Thimphu,14,Khasadrapchu Town,61,LA 1,1,3,Khasadrapchu III,42
Trashi Yangtse,16,Trashi Yangtse Town,51,LA 1,1,2,Around Hospital,30
Trashi Yangtse,16,Trashi Yangtse Town,51,LA 2,2,3,Area of Lower School and Sabji Bazaar,13
Trashi Yangtse,16,Trashi Yangtse Town,51,LA 4,4,1,Near Dzong Area,29
Trashi Yangtse,16,Duksum Town,61,LA 1,2,2,Starting from  main Town stopping at Kholong chhu Hydro Power main office ,28
Trashigang,15,Trashigang Town,51,LA 3,3,1,Near Dzong Court Area,47
Trashigang,15,Kanglung Town,61,LA 1,1,4,Shedra (Higher Level) Area,10
Trashigang,15,Khaling Town,62,LA 1,1,2,Khaling Bazar to Jige Sherubling HSS,31
Trashigang,15,Resarbu Town,64,LA 1,1,2,Hospital and Bazaar Area,28
Trongsa,17,Trongsa Town,51,LA 1,1,4,In and Around hospital cottage,64
Trongsa,17,Trongsa Town,51,LA 1,1,7,Main Lawshong Area,43
Trongsa,17,Trongsa Town,51,LA 3,3,2,Oyster Restaurant Area,39
Trongsa,17,Kuengarabten Town,61,LA 1,1,1,Below nunnery till school,27
Tsirang,18,Tsirang Town,51,LA 1,1,5,Forest Office Area,38
Tsirang,18,Tsirang Town,51,LA 3,3,1,Dratshang Area,49
Wangdue Phodrang,19,Wangdue Phodrang Town,51,LA 1,1,3,Above Old BoB Area,22
Wangdue Phodrang,19,Wangdue Phodrang Town,51,LA 3,3,1,Between Athang & Phobji Lam,12
Wangdue Phodrang,19,Wangdue Phodrang Town,51,LA 4,4,6,Zomyang Club,12
Wangdue Phodrang,19,Wangdue Phodrang Town,51,LA 6,6,3,EA 3 Nahi Lam Area,12
Wangdue Phodrang,19,Wangdue Phodrang Town,51,LA 7,7,2,RNR and Nearby Area,12
Wangdue Phodrang,19,Wangdue Phodrang Town,51,LA 9,9,5,EA-5,9
Zhemgang,20, Zhemgang Town,51,LA1,1,3,School Area,31
Zhemgang,20, Zhemgang Town,51,LA 2,2,5,Belimo Tshongkhang area till below guest house,29
Zhemgang,20, Panbang Town,61,LA 1,1,3,BOB Office Area,22
Zhemgang,20, Tingtibi Town,62,LA 1,1,4,Below Nganglam HW and BPC,32
